Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Sample_Bone10_13_S5_R1_001-paired	Sample_Bone10_13_S5_R1_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	81102733.0	0.0	26-141	55.0	12.487766526584778	125.15071837344865	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
Sample_Bone10_13_S5_R2_001-paired	Sample_Bone10_13_S5_R2_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	81102733.0	0.0	26-141	55.0	14.835970290114558	124.39854111944662	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Sample_Bone11_14_S9_R1_001-paired	Sample_Bone11_14_S9_R1_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37971567.0	0.0	26-141	49.0	34.76828271256978	132.19555234578547	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Sample_Bone11_14_S9_R2_001-paired	Sample_Bone11_14_S9_R2_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37971567.0	0.0	26-141	49.0	38.425372182625196	130.41416215454052	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Sample_Bone12_15_S3_R1_001-paired	Sample_Bone12_15_S3_R1_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53948391.0	0.0	26-141	50.0	32.73714597598878	130.78234787391528	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Sample_Bone12_15_S3_R2_001-paired	Sample_Bone12_15_S3_R2_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53948391.0	0.0	26-141	50.0	36.35789400244935	129.3404880416174	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Sample_Bone2_6_S3_R1_001-paired	Sample_Bone2_6_S3_R1_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	78067329.0	0.0	26-141	55.0	6.7959554864376175	129.39519255231596	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Sample_Bone2_6_S3_R2_001-paired	Sample_Bone2_6_S3_R2_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	78067329.0	0.0	26-141	55.0	8.508921204622593	128.5520333864631	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Sample_Bone3_7_S3_R1_001-paired	Sample_Bone3_7_S3_R1_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47754989.0	0.0	26-141	52.0	16.89651131983695	127.71274303926654	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Sample_Bone3_7_S3_R2_001-paired	Sample_Bone3_7_S3_R2_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47754989.0	0.0	26-141	53.0	19.143525346188984	126.31684670684355	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Sample_Bone4_8_S6_R1_001-paired	Sample_Bone4_8_S6_R1_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	57020540.0	0.0	26-141	55.0	10.347692071214093	127.95204805145654	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Sample_Bone4_8_S6_R2_001-paired	Sample_Bone4_8_S6_R2_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	57020540.0	0.0	26-141	55.0	12.369663149830624	127.05563647766226	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Sample_Bone5_9_S8_R1_001-paired	Sample_Bone5_9_S8_R1_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53046795.0	0.0	26-141	55.0	12.004367139163937	123.23501404750277	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Sample_Bone5_9_S8_R2_001-paired	Sample_Bone5_9_S8_R2_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53046795.0	0.0	26-141	55.0	13.965841725343445	122.38755557239604	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Sample_Bone6_10_S4_R1_001-paired	Sample_Bone6_10_S4_R1_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47358187.0	0.0	26-141	56.0	10.318399509615103	125.1500957374065	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
Sample_Bone6_10_S4_R2_001-paired	Sample_Bone6_10_S4_R2_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47358187.0	0.0	26-141	56.0	12.256452311241747	124.89903745681818	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Sample_Bone7_11_S7_R1_001-paired	Sample_Bone7_11_S7_R1_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27381663.0	0.0	26-141	50.0	35.702482247535436	130.4785244417039	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
Sample_Bone7_11_S7_R2_001-paired	Sample_Bone7_11_S7_R2_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27381663.0	0.0	26-141	50.0	38.74354559124728	128.79222668104563	pass	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
Sample_Bone9_12_S2_R1_001-paired	Sample_Bone9_12_S2_R1_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34191583.0	0.0	26-141	50.0	21.58175689539702	131.7184151140355	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
Sample_Bone9_12_S2_R2_001-paired	Sample_Bone9_12_S2_R2_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34191583.0	0.0	26-141	50.0	24.06319967185532	130.27828047622128	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
Sample_Clone1N_16_S6_R1_001-paired	Sample_Clone1N_16_S6_R1_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	55121667.0	0.0	26-141	53.0	21.35206646061762	128.29634161826056	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Sample_Clone1N_16_S6_R2_001-paired	Sample_Clone1N_16_S6_R2_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	55121667.0	0.0	26-141	53.0	24.36439482504336	127.08047909726677	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
Sample_Clone1o_19_S7_R1_001-paired	Sample_Clone1o_19_S7_R1_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32982410.0	0.0	26-141	50.0	30.582603548864366	132.55915374285868	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
Sample_Clone1o_19_S7_R2_001-paired	Sample_Clone1o_19_S7_R2_001-paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32982410.0	0.0	26-141	50.0	33.395025133529685	131.19823372518866	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
